16-Feb-2018 11:48:40
Test phase (group: 2)
Subj: 8
Trialnum	filename	condition	LureBin	response	accuracy	rt
126	Set C/026b.jpg	1	5	0	0	0.0
127	Set C/091a.jpg	0	0	0	0	0.0
128	Set C/176a.jpg	2	0	3	0	91.0
129	Set C/107a.jpg	0	0	0	0	0.0
130	Set C/097a.jpg	0	0	0	0	0.0
131	Set C/060b.jpg	1	5	1	0	46.6
132	Set C/157a.jpg	2	0	0	0	0.0
133	Set C/024b.jpg	1	2	3	1	86.8
134	Set C/156a.jpg	2	0	0	0	0.0
135	Set C/170a.jpg	2	0	0	0	0.0
136	Set C/173a.jpg	2	0	0	0	0.0
137	Set C/034b.jpg	1	2	0	0	0.0
138	Set C/182a.jpg	2	0	3	0	58.4
139	Set C/181a.jpg	2	0	0	0	0.0
140	Set C/063b.jpg	1	5	0	0	0.0
141	Set C/112a.jpg	0	0	0	0	0.0
142	Set C/109a.jpg	0	0	0	0	0.0
143	Set C/007b.jpg	1	2	0	0	0.0
144	Set C/023b.jpg	1	5	0	0	0.0
145	Set C/135a.jpg	2	0	2	1	53.3
146	Set C/015b.jpg	1	1	0	0	0.0
147	Set C/036b.jpg	1	3	3	1	103.0
148	Set C/114a.jpg	0	0	0	0	0.0
149	Set C/124a.jpg	0	0	0	0	0.0
150	Set C/178a.jpg	2	0	0	0	0.0
151	Set C/153a.jpg	2	0	0	0	0.0
152	Set C/055b.jpg	1	1	3	1	65.7
153	Set C/118a.jpg	0	0	0	0	0.0
154	Set C/032b.jpg	1	5	0	0	0.0
155	Set C/079a.jpg	0	0	0	0	0.0
156	Set C/008b.jpg	1	5	0	0	0.0
157	Set C/143a.jpg	2	0	3	0	60.6
158	Set C/048b.jpg	1	3	0	0	0.0
159	Set C/040b.jpg	1	3	0	0	0.0
160	Set C/116a.jpg	0	0	0	0	0.0
161	Set C/119a.jpg	0	0	0	0	0.0
162	Set C/147a.jpg	2	0	0	0	0.0
163	Set C/108a.jpg	0	0	0	0	0.0
164	Set C/132a.jpg	2	0	0	0	0.0
165	Set C/084a.jpg	0	0	2	0	93.5
166	Set C/057b.jpg	1	4	0	0	0.0
167	Set C/188a.jpg	2	0	0	0	0.0
168	Set C/189a.jpg	2	0	3	0	30.0
169	Set C/103a.jpg	0	0	0	0	0.0
170	Set C/004b.jpg	1	5	0	0	0.0
171	Set C/045b.jpg	1	3	0	0	0.0
172	Set C/190a.jpg	2	0	0	0	0.0
173	Set C/092a.jpg	0	0	3	0	96.5
174	Set C/080a.jpg	0	0	0	0	0.0
175	Set C/155a.jpg	2	0	0	0	0.0
176	Set C/152a.jpg	2	0	0	0	0.0
177	Set C/061b.jpg	1	1	0	0	0.0
178	Set C/138a.jpg	2	0	0	0	0.0
179	Set C/072a.jpg	0	0	0	0	0.0
180	Set C/043b.jpg	1	5	0	0	0.0
181	Set C/160a.jpg	2	0	0	0	0.0
182	Set C/086a.jpg	0	0	0	0	0.0
183	Set C/123a.jpg	0	0	0	0	0.0
184	Set C/154a.jpg	2	0	0	0	0.0
185	Set C/022b.jpg	1	2	0	0	0.0
186	Set C/127a.jpg	0	0	0	0	0.0
187	Set C/120a.jpg	0	0	0	0	0.0
188	Set C/085a.jpg	0	0	0	0	0.0
189	Set C/117a.jpg	0	0	0	0	0.0
190	Set C/041b.jpg	1	3	0	0	0.0
191	Set C/025b.jpg	1	5	0	0	0.0
192	Set C/017b.jpg	1	3	0	0	0.0

Session Statistics
TO	TN	TS	LO	LN	LS	FO	FN	FS	NR
2	7	5	2	0	6	2	3	7	158

Total target trials	64
Rate(old | target)	0.0312
Rate(new | target)	0.1094
Rate(similar | target)	0.0781

Total lure trials	64
Rate(old | lure)	0.0312
Rate(new | lure)	0.0000
Rate(similar | lure)	0.0938

Total foil trials	64
Rate(old | foil)	0.0312
Rate(new | foil)	0.0469
Rate(similar | foil)	0.1094

LureBin Statistics
L1O	L1S	L1N	L2O	L2S	L2N	L3O	L3S	L3N	L4O	L4S	L4N	L5O	L5S	L5N	LNR
0	2	0	0	1	0	0	2	0	0	0	0	2	1	0	56

Total LureBin one trials	13
Rate(old | lure1)	0.0000
Rate(new | lure1)	0.0000
Rate(similar | lure1)	0.1538

Total LureBin two trials	10
Rate(old | lure2)	0.0000
Rate(new | lure2)	0.0000
Rate(similar | lure2)	0.1000

Total LureBin three trials	12
Rate(old | lure3)	0.0000
Rate(new | lure3)	0.0000
Rate(similar | lure3)	0.1667

Total LureBin four trials	10
Rate(old | lure4)	0.0000
Rate(new | lure4)	0.0000
Rate(similar | lure4)	0.0000

Total LureBin five trials	19
Rate(old | lure5)	0.1053
Rate(new | lure5)	0.0000
Rate(similar | lure5)	0.0526
